,e-Way,GST
2020-01-01,,1.10818
2020-02-01,57.185697,1.05366
2020-03-01,40.65881,0.97597
2020-04-01,8.609447,0.32294
2020-05-01,25.49267,0.62009
2020-06-01,43.424869,0.90917
2020-07-01,48.366538,0.87422
2020-08-01,49.443806,0.86449
2020-09-01,57.439923,0.9548
2020-10-01,64.185116,1.05155
2020-11-01,57.722962,1.04963
2020-12-01,64.197352,1.15174
2021-01-01,62.875122,1.19847
2021-02-01,63.844401,1.13143
2021-03-01,65.612362,1.23902
2021-04-01,58.763624,1.41384
2021-05-01,39.979138,1.02709
2021-06-01,54.689215,0.92849
2021-07-01,64.164493,1.16393
2021-08-01,63.305179,1.1202
2021-09-01,67.940369,1.1701
2021-10-01,73.506895,1.30127
2021-11-01,61.151727,1.31526
2021-12-01,71.635048,1.2978
2022-01-01,65.812849,1.38394
